sent_name,cat_tree
uneasiness,sentiment^anger^uneasiness
disturbance,sentiment^anger^disturbance
thought,sentiment^attention^thought
consideration,sentiment^attention^consideration
application,sentiment^attention^application
attention,sentiment^attention
debate,sentiment^attention^debate
deliberation,sentiment^attention^deliberation
discussion,sentiment^attention^discussion
examination,sentiment^attention^examination
review,sentiment^attention^review
scrutiny,sentiment^attention^scrutiny
study,sentiment^attention^study
argument,sentiment^attention^argument
contest,sentiment^attention^contest
controversy,sentiment^attention^controversy
dispute,sentiment^attention^dispute
match,sentiment^attention^match
mind,sentiment^attention^mind
brain,sentiment^attention^brain
consciousness,sentiment^attention^consciousness
genius,sentiment^attention^genius
head,sentiment^attention^head
imagination,sentiment^attention^imagination
instinct,sentiment^attention^instinct
intellect,sentiment^attention^intellect
judgment,sentiment^attention^judgment
mentality,sentiment^attention^mentality
perception,sentiment^attention^perception
power,sentiment^attention^power
psyche,sentiment^attention^psyche
sense,sentiment^attention^sense
soul,sentiment^attention^soul
spirit,sentiment^attention^spirit
talent,sentiment^attention^talent
wisdom,sentiment^attention^wisdom
analysis,sentiment^attention^analysis
audit,sentiment^attention^audit
inquiry,sentiment^attention^inquiry
inspection,sentiment^attention^inspection
investigation,sentiment^attention^investigation
search,sentiment^attention^search
surveillance,sentiment^attention^surveillance
thinking,sentiment^attention^thinking
reasoning,sentiment^attention^reasoning
hope,sentiment^attention^hope
logic,sentiment^attention^logic
reflection,sentiment^attention^reflection
speculation,sentiment^attention^speculation
understanding,sentiment^attention^understanding
bill,sentiment^bill
statement,sentiment^bill^statement
check,sentiment^bill^check
analysis,sentiment^bill^analysis
audit,sentiment^bill^audit
checkup,sentiment^bill^checkup
control,sentiment^bill^control
inquiry,sentiment^bill^inquiry
investigation,sentiment^bill^investigation
research,sentiment^bill^research
review,sentiment^bill^review
test,sentiment^bill^test
debt,sentiment^bill^debt
arrears,sentiment^bill^arrears
capital,sentiment^bill^capital
commitment,sentiment^bill^commitment
credit,sentiment^bill^credit
damage,sentiment^bill^damage
deficit,sentiment^bill^deficit
due,sentiment^bill^due
indebtedness,sentiment^bill^indebtedness
liability,sentiment^bill^liability
mortgage,sentiment^bill^mortgage
obligation,sentiment^bill^obligation
price,sentiment^bill^price
tag,sentiment^bill^tag
receipt,sentiment^bill^receipt
note,sentiment^bill^note
character,sentiment^bill^character
sign,sentiment^bill^sign
tone,sentiment^bill^tone
account,sentiment^bill^account
affidavit,sentiment^bill^affidavit
allegation,sentiment^bill^allegation
announcement,sentiment^bill^announcement
assurance,sentiment^bill^assurance
charge,sentiment^bill^charge
comment,sentiment^bill^comment
description,sentiment^bill^description
explanation,sentiment^bill^explanation
presentation,sentiment^bill^presentation
proclamation,sentiment^bill^proclamation
remark,sentiment^bill^remark
report,sentiment^bill^report
testimony,sentiment^bill^testimony
word,sentiment^bill^word
confidential,sentiment^confidential
intimate,sentiment^confidential^intimate
private,sentiment^confidential^private
affectionate,sentiment^confidential^affectionate
cozy,sentiment^confidential^cozy
loving,sentiment^confidential^loving
warm,sentiment^confidential^warm
exclusive,sentiment^confidential^exclusive
independent,sentiment^confidential^independent
individual,sentiment^confidential^individual
secret,sentiment^confidential^secret
separate,sentiment^confidential^separate
special,sentiment^confidential^special
alluring,sentiment^delightful^alluring
amusing,sentiment^delightful^amusing
beautiful,sentiment^delightful^beautiful
captivating,sentiment^delightful^captivating
delectable,sentiment^delightful^delectable
delicious,sentiment^delightful^delicious
enchanting,sentiment^delightful^enchanting
engaging,sentiment^delightful^engaging
enjoyable,sentiment^delightful^enjoyable
entertaining,sentiment^delightful^entertaining
fascinating,sentiment^delightful^fascinating
lovely,sentiment^delightful^lovely
luscious,sentiment^delightful^luscious
pleasing,sentiment^delightful^pleasing
refreshing,sentiment^delightful^refreshing
satisfying,sentiment^delightful^satisfying
thrilling,sentiment^delightful^thrilling
beguiling,sentiment^delightful^beguiling
charming,sentiment^delightful^charming
enticing,sentiment^delightful^enticing
seductive,sentiment^delightful^seductive
tempting,sentiment^delightful^tempting
campy,sentiment^delightful^campy
comical,sentiment^delightful^comical
delightful,sentiment^delightful^delightful
diverting,sentiment^delightful^diverting
droll,sentiment^delightful^droll
fun,sentiment^delightful^fun
gratifying,sentiment^delightful^gratifying
humorous,sentiment^delightful^humorous
interesting,sentiment^delightful^interesting
lively,sentiment^delightful^lively
pleasant,sentiment^delightful^pleasant
appealing,sentiment^delightful^appealing
cute,sentiment^delightful^cute
dazzling,sentiment^delightful^dazzling
delicate,sentiment^delightful^delicate
elegant,sentiment^delightful^elegant
exquisite,sentiment^delightful^exquisite
fine,sentiment^delightful^fine
good-looking,sentiment^delightful^good-looking
gorgeous,sentiment^delightful^gorgeous
graceful,sentiment^delightful^graceful
grand,sentiment^delightful^grand
handsome,sentiment^delightful^handsome
magnificent,sentiment^delightful^magnificent
marvelous,sentiment^delightful^marvelous
pretty,sentiment^delightful^pretty
splendid,sentiment^delightful^splendid
stunning,sentiment^delightful^stunning
superb,sentiment^delightful^superb
wonderful,sentiment^delightful^wonderful
beguile,sentiment^delightful^beguile
bewitch,sentiment^delightful^bewitch
charm,sentiment^delightful^charm
dazzle,sentiment^delightful^dazzle
delight,sentiment^delightful^delight
enrapture,sentiment^delightful^enrapture
entertain,sentiment^delightful^entertain
enthrall,sentiment^delightful^enthrall
fascinate,sentiment^delightful^fascinate
gratify,sentiment^delightful^gratify
grip,sentiment^delightful^grip
hypnotize,sentiment^delightful^hypnotize
infatuate,sentiment^delightful^infatuate
intrigue,sentiment^delightful^intrigue
mesmerize,sentiment^delightful^mesmerize
please,sentiment^delightful^please
seduce,sentiment^delightful^seduce
appetizing,sentiment^delightful^appetizing
heavenly,sentiment^delightful^heavenly
palatable,sentiment^delightful^palatable
savory,sentiment^delightful^savory
tasty,sentiment^delightful^tasty
yummy,sentiment^delightful^yummy
distinctive,sentiment^delightful^distinctive
piquant,sentiment^delightful^piquant
rich,sentiment^delightful^rich
spicy,sentiment^delightful^spicy
sweet,sentiment^delightful^sweet
endearing,sentiment^delightful^endearing
intriguing,sentiment^delightful^intriguing
ravishing,sentiment^delightful^ravishing
winsome,sentiment^delightful^winsome
attractive,sentiment^delightful^attractive
inviting,sentiment^delightful^inviting
likable,sentiment^delightful^likable
lovable,sentiment^delightful^lovable
pleasurable,sentiment^delightful^pleasurable
absorbing,sentiment^delightful^absorbing
affecting,sentiment^delightful^affecting
compelling,sentiment^delightful^compelling
engrossing,sentiment^delightful^engrossing
exciting,sentiment^delightful^exciting
funny,sentiment^delightful^funny
impressive,sentiment^delightful^impressive
inspiring,sentiment^delightful^inspiring
moving,sentiment^delightful^moving
poignant,sentiment^delightful^poignant
provocative,sentiment^delightful^provocative
stimulating,sentiment^delightful^stimulating
glamorous,sentiment^delightful^glamorous
gripping,sentiment^delightful^gripping
riveting,sentiment^delightful^riveting
juicy,sentiment^delightful^juicy
lush,sentiment^delightful^lush
luxurious,sentiment^delightful^luxurious
opulent,sentiment^delightful^opulent
succulent,sentiment^delightful^succulent
sumptuous,sentiment^delightful^sumptuous
agreeable,sentiment^delightful^agreeable
favorable,sentiment^delightful^favorable
satisfactory,sentiment^delightful^satisfactory
bracing,sentiment^delightful^bracing
exhilarating,sentiment^delightful^exhilarating
fresh,sentiment^delightful^fresh
invigorating,sentiment^delightful^invigorating
rewarding,sentiment^delightful^rewarding
breathtaking,sentiment^delightful^breathtaking
electrifying,sentiment^delightful^electrifying
frantic,sentiment^delightful^frantic
hair-raising,sentiment^delightful^hair-raising
miraculous,sentiment^delightful^miraculous
rousing,sentiment^delightful^rousing
sensational,sentiment^delightful^sensational
stirring,sentiment^delightful^stirring
important,sentiment^important
big,sentiment^important^big
critical,sentiment^important^critical
crucial,sentiment^important^crucial
decisive,sentiment^important^decisive
essential,sentiment^important^essential
extensive,sentiment^important^extensive
far-reaching,sentiment^important^far-reaching
great,sentiment^important^great
imperative,sentiment^important^imperative
influential,sentiment^important^influential
large,sentiment^important^large
meaningful,sentiment^important^meaningful
necessary,sentiment^important^necessary
paramount,sentiment^important^paramount
relevant,sentiment^important^relevant
serious,sentiment^important^serious
significant,sentiment^important^significant
vital,sentiment^important^vital
colossal,sentiment^important^colossal
considerable,sentiment^important^considerable
enormous,sentiment^important^enormous
fat,sentiment^important^fat
full,sentiment^important^full
gigantic,sentiment^important^gigantic
hefty,sentiment^important^hefty
huge,sentiment^important^huge
immense,sentiment^important^immense
massive,sentiment^important^massive
sizable,sentiment^important^sizable
substantial,sentiment^important^substantial
tremendous,sentiment^important^tremendous
vast,sentiment^important^vast
demanding,sentiment^important^demanding
central,sentiment^important^central
compelling,sentiment^important^compelling
deciding,sentiment^important^deciding
momentous,sentiment^important^momentous
pivotal,sentiment^important^pivotal
pressing,sentiment^important^pressing
touchy,sentiment^important^touchy
conclusive,sentiment^important^conclusive
definitive,sentiment^important^definitive
determined,sentiment^important^determined
fateful,sentiment^important^fateful
forceful,sentiment^important^forceful
positive,sentiment^important^positive
resolute,sentiment^important^resolute
fundamental,sentiment^important^fundamental
indispensable,sentiment^important^indispensable
main,sentiment^important^main
needed,sentiment^important^needed
broad,sentiment^important^broad
comprehensive,sentiment^important^comprehensive
expanded,sentiment^important^expanded
large-scale,sentiment^important^large-scale
lengthy,sentiment^important^lengthy
major,sentiment^important^major
pervasive,sentiment^important^pervasive
protracted,sentiment^important^protracted
sweeping,sentiment^important^sweeping
voluminous,sentiment^important^voluminous
wide-ranging,sentiment^important^wide-ranging
extreme,sentiment^important^extreme
high,sentiment^important^high
strong,sentiment^important^strong
terrible,sentiment^important^terrible
compulsory,sentiment^important^compulsory
immediate,sentiment^important^immediate
inescapable,sentiment^important^inescapable
obligatory,sentiment^important^obligatory
authoritative,sentiment^important^authoritative
dominant,sentiment^important^dominant
famous,sentiment^important^famous
leading,sentiment^important^leading
persuasive,sentiment^important^persuasive
prominent,sentiment^important^prominent
generous,sentiment^important^generous
giant,sentiment^important^giant
grand,sentiment^important^grand
populous,sentiment^important^populous
spacious,sentiment^important^spacious
wide,sentiment^important^wide
consequential,sentiment^important^consequential
purposeful,sentiment^important^purposeful
useful,sentiment^important^useful
valid,sentiment^important^valid
worthwhile,sentiment^important^worthwhile
basic,sentiment^important^basic
mandatory,sentiment^important^mandatory
required,sentiment^important^required
unavoidable,sentiment^important^unavoidable
outstanding,sentiment^important^outstanding
predominant,sentiment^important^predominant
preeminent,sentiment^important^preeminent
admissible,sentiment^important^admissible
applicable,sentiment^important^applicable
compatible,sentiment^important^compatible
consistent,sentiment^important^consistent
germane,sentiment^important^germane
pertinent,sentiment^important^pertinent
proper,sentiment^important^proper
related,sentiment^important^related
suitable,sentiment^important^suitable
suited,sentiment^important^suited
deliberate,sentiment^important^deliberate
genuine,sentiment^important^genuine
honest,sentiment^important^honest
severe,sentiment^important^severe
sincere,sentiment^important^sincere
thoughtful,sentiment^important^thoughtful
powerful,sentiment^important^powerful
symbolic,sentiment^important^symbolic
weighty,sentiment^important^weighty
integral,sentiment^important^integral
key,sentiment^important^key
love,sentiment^love
affection,sentiment^love^affection
appreciation,sentiment^love^appreciation
devotion,sentiment^love^devotion
emotion,sentiment^love^emotion
fondness,sentiment^love^fondness
friendship,sentiment^love^friendship
infatuation,sentiment^love^infatuation
lust,sentiment^love^lust
passion,sentiment^love^passion
respect,sentiment^love^respect
taste,sentiment^love^taste
tenderness,sentiment^love^tenderness
yearning,sentiment^love^yearning
care,sentiment^love^care
closeness,sentiment^love^closeness
desire,sentiment^love^desire
feeling,sentiment^love^feeling
good,sentiment^love^good
will,sentiment^love^will
kindness,sentiment^love^kindness
sentiment,sentiment^love^sentiment
warmth,sentiment^love^warmth
acknowledgment,sentiment^love^acknowledgment
gratitude,sentiment^love^gratitude
recognition,sentiment^love^recognition
thanks,sentiment^love^thanks
adherence,sentiment^love^adherence
adoration,sentiment^love^adoration
allegiance,sentiment^love^allegiance
attachment,sentiment^love^attachment
dedication,sentiment^love^dedication
deference,sentiment^love^deference
enthusiasm,sentiment^love^enthusiasm
faithfulness,sentiment^love^faithfulness
fealty,sentiment^love^fealty
fervor,sentiment^love^fervor
fidelity,sentiment^love^fidelity
intensity,sentiment^love^intensity
piety,sentiment^love^piety
reverence,sentiment^love^reverence
sincerity,sentiment^love^sincerity
worship,sentiment^love^worship
zeal,sentiment^love^zeal
anger,sentiment^love^anger
concern,sentiment^love^concern
despair,sentiment^love^despair
empathy,sentiment^love^empathy
excitement,sentiment^love^excitement
grief,sentiment^love^grief
happiness,sentiment^love^happiness
joy,sentiment^love^joy
pride,sentiment^love^pride
rage,sentiment^love^rage
remorse,sentiment^love^remorse
sadness,sentiment^love^sadness
shame,sentiment^love^shame
sorrow,sentiment^love^sorrow
sympathy,sentiment^love^sympathy
penchant,sentiment^love^penchant
predilection,sentiment^love^predilection
preference,sentiment^love^preference
soft,sentiment^love^soft
spot,sentiment^love^spot
accord,sentiment^love^accord
agreement,sentiment^love^agreement
harmony,sentiment^love^harmony
intimacy,sentiment^love^intimacy
pact,sentiment^love^pact
rapport,sentiment^love^rapport
society,sentiment^love^society
solidarity,sentiment^love^solidarity
understanding,sentiment^love^understanding
fascination,sentiment^love^fascination
obsession,sentiment^love^obsession
craving,sentiment^love^craving
greed,sentiment^love^greed
hunger,sentiment^love^hunger
libido,sentiment^love^libido
longing,sentiment^love^longing
sensuality,sentiment^love^sensuality
thirst,sentiment^love^thirst
ardor,sentiment^love^ardor
fury,sentiment^love^fury
resentment,sentiment^love^resentment
spirit,sentiment^love^spirit
temper,sentiment^love^temper
awe,sentiment^love^awe
consideration,sentiment^love^consideration
dignity,sentiment^love^dignity
esteem,sentiment^love^esteem
fear,sentiment^love^fear
honor,sentiment^love^honor
regard,sentiment^love^regard
tribute,sentiment^love^tribute
aftertaste,sentiment^love^aftertaste
aroma,sentiment^love^aroma
gentleness,sentiment^love^gentleness
ambition,sentiment^love^ambition
appetite,sentiment^love^appetite
aspiration,sentiment^love^aspiration
eagerness,sentiment^love^eagerness
hankering,sentiment^love^hankering
payment,sentiment^payment
amount,sentiment^payment^amount
award,sentiment^payment^award
cash,sentiment^payment^cash
deposit,sentiment^payment^deposit
disbursement,sentiment^payment^disbursement
fee,sentiment^payment^fee
outlay,sentiment^payment^outlay
pension,sentiment^payment^pension
premium,sentiment^payment^premium
refund,sentiment^payment^refund
reimbursement,sentiment^payment^reimbursement
remittance,sentiment^payment^remittance
reparation,sentiment^payment^reparation
repayment,sentiment^payment^repayment
restitution,sentiment^payment^restitution
return,sentiment^payment^return
reward,sentiment^payment^reward
salary,sentiment^payment^salary
settlement,sentiment^payment^settlement
subsidy,sentiment^payment^subsidy
sum,sentiment^payment^sum
support,sentiment^payment^support
bulk,sentiment^payment^bulk
chunk,sentiment^payment^chunk
extent,sentiment^payment^extent
load,sentiment^payment^load
lot,sentiment^payment^lot
measure,sentiment^payment^measure
number,sentiment^payment^number
supply,sentiment^payment^supply
ton,sentiment^payment^ton
volume,sentiment^payment^volume
accolade,sentiment^payment^accolade
citation,sentiment^payment^citation
decision,sentiment^payment^decision
donation,sentiment^payment^donation
endowment,sentiment^payment^endowment
gift,sentiment^payment^gift
gold,sentiment^payment^gold
grant,sentiment^payment^grant
honor,sentiment^payment^honor
presentation,sentiment^payment^presentation
scholarship,sentiment^payment^scholarship
trophy,sentiment^payment^trophy
verdict,sentiment^payment^verdict
buck,sentiment^payment^buck
currency,sentiment^payment^currency
investment,sentiment^payment^investment
note,sentiment^payment^note
reserve,sentiment^payment^reserve
security,sentiment^payment^security
stock,sentiment^payment^stock
expenditure,sentiment^payment^expenditure
spending,sentiment^payment^spending
account,sentiment^payment^account
bill,sentiment^payment^bill
commission,sentiment^payment^commission
compensation,sentiment^payment^compensation
cost,sentiment^payment^cost
cut,sentiment^payment^cut
expense,sentiment^payment^expense
pay,sentiment^payment^pay
price,sentiment^payment^price
share,sentiment^payment^share
stipend,sentiment^payment^stipend
wage,sentiment^payment^wage
tag,sentiment^payment^tag
allowance,sentiment^payment^allowance
annuity,sentiment^payment^annuity
retirement,sentiment^payment^retirement
social,sentiment^payment^social
discount,sentiment^payment^discount
kickback,sentiment^payment^kickback
rebate,sentiment^payment^rebate
remuneration,sentiment^payment^remuneration
apology,sentiment^payment^apology
atonement,sentiment^payment^atonement
indemnity,sentiment^payment^indemnity
redress,sentiment^payment^redress
renewal,sentiment^payment^renewal
restoration,sentiment^payment^restoration
arrival,sentiment^payment^arrival
entry,sentiment^payment^entry
rebound,sentiment^payment^rebound
recovery,sentiment^payment^recovery
benefit,sentiment^payment^benefit
bonus,sentiment^payment^bonus
bounty,sentiment^payment^bounty
dividend,sentiment^payment^dividend
profit,sentiment^payment^profit
punishment,sentiment^payment^punishment
earnings,sentiment^payment^earnings
income,sentiment^payment^income
payroll,sentiment^payment^payroll
agreement,sentiment^payment^agreement
arrangement,sentiment^payment^arrangement
contract,sentiment^payment^contract
deal,sentiment^payment^deal
establishment,sentiment^payment^establishment
resolution,sentiment^payment^resolution
aid,sentiment^payment^aid
appropriation,sentiment^payment^appropriation
assistance,sentiment^payment^assistance
contribution,sentiment^payment^contribution
financial,sentiment^payment^financial
quantity,sentiment^payment^quantity
value,sentiment^payment^value
worth,sentiment^payment^worth
backing,sentiment^payment^backing
request,sentiment^request
appeal,sentiment^request^appeal
application,sentiment^request^application
call,sentiment^request^call
demand,sentiment^request^demand
desire,sentiment^request^desire
inquiry,sentiment^request^inquiry
invitation,sentiment^request^invitation
offer,sentiment^request^offer
suit,sentiment^request^suit
bid,sentiment^request^bid
claim,sentiment^request^claim
overture,sentiment^request^overture
petition,sentiment^request^petition
plea,sentiment^request^plea
proposal,sentiment^request^proposal
question,sentiment^request^question
function,sentiment^request^function
operation,sentiment^request^operation
utilization,sentiment^request^utilization
calling,sentiment^request^calling
cry,sentiment^request^cry
signal,sentiment^request^signal
insistence,sentiment^request^insistence
interest,sentiment^request^interest
need,sentiment^request^need
order,sentiment^request^order
requirement,sentiment^request^requirement
sale,sentiment^request^sale
trade,sentiment^request^trade
use,sentiment^request^use
ambition,sentiment^request^ambition
appetite,sentiment^request^appetite
aspiration,sentiment^request^aspiration
craving,sentiment^request^craving
devotion,sentiment^request^devotion
eagerness,sentiment^request^eagerness
fascination,sentiment^request^fascination
greed,sentiment^request^greed
hunger,sentiment^request^hunger
inclination,sentiment^request^inclination
love,sentiment^request^love
lust,sentiment^request^lust
motive,sentiment^request^motive
passion,sentiment^request^passion
thirst,sentiment^request^thirst
will,sentiment^request^will
wish,sentiment^request^wish
yearning,sentiment^request^yearning
analysis,sentiment^request^analysis
audit,sentiment^request^audit
examination,sentiment^request^examination
hearing,sentiment^request^hearing
inspection,sentiment^request^inspection
interrogation,sentiment^request^interrogation
investigation,sentiment^request^investigation
probe,sentiment^request^probe
query,sentiment^request^query
questioning,sentiment^request^questioning
research,sentiment^request^research
scrutiny,sentiment^request^scrutiny
search,sentiment^request^search
study,sentiment^request^study
survey,sentiment^request^survey
challenge,sentiment^request^challenge
date,sentiment^request^date
encouragement,sentiment^request^encouragement
proposition,sentiment^request^proposition
solicitation,sentiment^request^solicitation
suggestion,sentiment^request^suggestion
summons,sentiment^request^summons
action,sentiment^request^action
attempt,sentiment^request^attempt
costume,sentiment^request^costume
dress,sentiment^request^dress
ensemble,sentiment^request^ensemble
tuxedo,sentiment^request^tuxedo
uniform,sentiment^request^uniform
wardrobe,sentiment^request^wardrobe
sad,sentiment^sad
bitter,sentiment^sad^bitter
dismal,sentiment^sad^dismal
heartbroken,sentiment^sad^heartbroken
melancholy,sentiment^sad^melancholy
mournful,sentiment^sad^mournful
pessimistic,sentiment^sad^pessimistic
somber,sentiment^sad^somber
sorrowful,sentiment^sad^sorrowful
sorry,sentiment^sad^sorry
wistful,sentiment^sad^wistful
harsh,sentiment^sad^harsh
sour,sentiment^sad^sour
depressing,sentiment^sad^depressing
dim,sentiment^sad^dim
discouraging,sentiment^sad^discouraging
disheartening,sentiment^sad^disheartening
dull,sentiment^sad^dull
ghastly,sentiment^sad^ghastly
horrible,sentiment^sad^horrible
horrid,sentiment^sad^horrid
miserable,sentiment^sad^miserable
murky,sentiment^sad^murky
grief-stricken,sentiment^sad^grief-stricken
gloomy,sentiment^sad^gloomy
grim,sentiment^sad^grim
pensive,sentiment^sad^pensive
trite,sentiment^sad^trite
anguished,sentiment^sad^anguished
forlorn,sentiment^sad^forlorn
bleak,sentiment^sad^bleak
depressed,sentiment^sad^depressed
despondent,sentiment^sad^despondent
discouraged,sentiment^sad^discouraged
fatalistic,sentiment^sad^fatalistic
glum,sentiment^sad^glum
dark,sentiment^sad^dark
earnest,sentiment^sad^earnest
funereal,sentiment^sad^funereal
sedate,sentiment^sad^sedate
serious,sentiment^sad^serious
sober,sentiment^sad^sober
solemn,sentiment^sad^solemn
weighty,sentiment^sad^weighty
affecting,sentiment^sad^affecting
distressing,sentiment^sad^distressing
heartrending,sentiment^sad^heartrending
lugubrious,sentiment^sad^lugubrious
painful,sentiment^sad^painful
plaintive,sentiment^sad^plaintive
apologetic,sentiment^sad^apologetic
contrite,sentiment^sad^contrite
touched,sentiment^sad^touched
contemplative,sentiment^sad^contemplative
dreamy,sentiment^sad^dreamy
nostalgic,sentiment^sad^nostalgic
thoughtful,sentiment^sad^thoughtful
urgent,sentiment^urgent
compelling,sentiment^urgent^compelling
critical,sentiment^urgent^critical
crucial,sentiment^urgent^crucial
demanding,sentiment^urgent^demanding
essential,sentiment^urgent^essential
immediate,sentiment^urgent^immediate
imperative,sentiment^urgent^imperative
important,sentiment^urgent^important
indispensable,sentiment^urgent^indispensable
necessary,sentiment^urgent^necessary
persuasive,sentiment^urgent^persuasive
pressing,sentiment^urgent^pressing
serious,sentiment^urgent^serious
vital,sentiment^urgent^vital
weighty,sentiment^urgent^weighty
fascinating,sentiment^urgent^fascinating
central,sentiment^urgent^central
deciding,sentiment^urgent^deciding
decisive,sentiment^urgent^decisive
momentous,sentiment^urgent^momentous
pivotal,sentiment^urgent^pivotal
touchy,sentiment^urgent^touchy
ambitious,sentiment^urgent^ambitious
difficult,sentiment^urgent^difficult
exacting,sentiment^urgent^exacting
exhausting,sentiment^urgent^exhausting
hard,sentiment^urgent^hard
onerous,sentiment^urgent^onerous
strict,sentiment^urgent^strict
stringent,sentiment^urgent^stringent
taxing,sentiment^urgent^taxing
tough,sentiment^urgent^tough
troublesome,sentiment^urgent^troublesome
trying,sentiment^urgent^trying
fundamental,sentiment^urgent^fundamental
main,sentiment^urgent^main
needed,sentiment^urgent^needed
actual,sentiment^urgent^actual
prompt,sentiment^urgent^prompt
compulsory,sentiment^urgent^compulsory
inescapable,sentiment^urgent^inescapable
obligatory,sentiment^urgent^obligatory
big,sentiment^urgent^big
extensive,sentiment^urgent^extensive
far-reaching,sentiment^urgent^far-reaching
great,sentiment^urgent^great
influential,sentiment^urgent^influential
large,sentiment^urgent^large
meaningful,sentiment^urgent^meaningful
paramount,sentiment^urgent^paramount
relevant,sentiment^urgent^relevant
significant,sentiment^urgent^significant
basic,sentiment^urgent^basic
mandatory,sentiment^urgent^mandatory
required,sentiment^urgent^required
unavoidable,sentiment^urgent^unavoidable
alluring,sentiment^urgent^alluring
cogent,sentiment^urgent^cogent
conclusive,sentiment^urgent^conclusive
convincing,sentiment^urgent^convincing
credible,sentiment^urgent^credible
eloquent,sentiment^urgent^eloquent
energetic,sentiment^urgent^energetic
forceful,sentiment^urgent^forceful
impressive,sentiment^urgent^impressive
inspiring,sentiment^urgent^inspiring
logical,sentiment^urgent^logical
plausible,sentiment^urgent^plausible
potent,sentiment^urgent^potent
powerful,sentiment^urgent^powerful
valid,sentiment^urgent^valid
acute,sentiment^urgent^acute
dire,sentiment^urgent^dire
insistent,sentiment^urgent^insistent
deliberate,sentiment^urgent^deliberate
genuine,sentiment^urgent^genuine
honest,sentiment^urgent^honest
severe,sentiment^urgent^severe
sincere,sentiment^urgent^sincere
thoughtful,sentiment^urgent^thoughtful
integral,sentiment^urgent^integral
key,sentiment^urgent^key
hefty,sentiment^urgent^hefty
ponderous,sentiment^urgent^ponderous
